dateRep,year,month,day,cases,deaths,countriesAndTerritories,geod,popData2020,countryterritoryCode,continentExp
12/03/2021,2021,3,12,2847,18,Austria,AT,8901064,AUT,Europe
11/03/2021,2021,3,11,2847,12,Austria,AT,8901064,AUT,Europe
10/03/2021,2021,3,10,2194,21,Austria,AT,8901064,AUT,Europe
09/03/2021,2021,3,9,1965,23,Austria,AT,8901064,AUT,Europe
08/03/2021,2021,3,8,2281,9,Austria,AT,8901064,AUT,Europe
07/03/2021,2021,3,7,2846,16,Austria,AT,8901064,AUT,Europe
06/03/2021,2021,3,6,2319,24,Austria,AT,8901064,AUT,Europe
05/03/2021,2021,3,5,2691,19,Austria,AT,8901064,AUT,Europe
04/03/2021,2021,3,4,2497,14,Austria,AT,8901064,AUT,Europe
03/03/2021,2021,3,3,1926,17,Austria,AT,8901064,AUT,Europe
02/03/2021,2021,3,2,1148,25,Austria,AT,8901064,AUT,Europe
01/03/2021,2021,3,1,456112,8414,Austria,AT,8901064,AUT,Europe
12/03/2021,2021,3,12,0,0,Belgium,BE,11522440,BEL,Europe
11/03/2021,2021,3,11,1,3,Belgium,BE,11522440,BEL,Europe
10/03/2021,2021,3,10,1541,22,Belgium,BE,11522440,BEL,Europe
09/03/2021,2021,3,9,3257,23,Belgium,BE,11522440,BEL,Europe
08/03/2021,2021,3,8,3678,36,Belgium,BE,11522440,BEL,Europe
07/03/2021,2021,3,7,791,19,Belgium,BE,11522440,BEL,Europe
06/03/2021,2021,3,6,1522,24,Belgium,BE,11522440,BEL,Europe
05/03/2021,2021,3,5,2739,33,Belgium,BE,11522440,BEL,Europe
04/03/2021,2021,3,4,2694,16,Belgium,BE,11522440,BEL,Europe
03/03/2021,2021,3,3,2764,26,Belgium,BE,11522440,BEL,Europe
02/03/2021,2021,3,2,2766,25,Belgium,BE,11522440,BEL,Europe
01/03/2021,2021,3,1,776261,22143,Belgium,BE,11522440,BEL,Europe
12/03/2021,2021,3,12,3121,95,Bulgaria,BG,6951482,BGR,Europe
11/03/2021,2021,3,11,2774,97,Bulgaria,BG,6951482,BGR,Europe
10/03/2021,2021,3,10,3502,138,Bulgaria,BG,6951482,BGR,Europe
09/03/2021,2021,3,9,2995,150,Bulgaria,BG,6951482,BGR,Europe
08/03/2021,2021,3,8,497,21,Bulgaria,BG,6951482,BGR,Europe
07/03/2021,2021,3,7,1426,22,Bulgaria,BG,6951482,BGR,Europe
06/03/2021,2021,3,6,3004,65,Bulgaria,BG,6951482,BGR,Europe
05/03/2021,2021,3,5,2198,93,Bulgaria,BG,6951482,BGR,Europe
04/03/2021,2021,3,4,1154,22,Bulgaria,BG,6951482,BGR,Europe
03/03/2021,2021,3,3,2403,83,Bulgaria,BG,6951482,BGR,Europe
02/03/2021,2021,3,2,2588,117,Bulgaria,BG,6951482,BGR,Europe
01/03/2021,2021,3,1,247038,10191,Bulgaria,BG,6951482,BGR,Europe
